id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
103,14 Herculis b,58,8.053 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,9.207 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.883 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
124,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
128,14 Herculis b,58,8.053 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,9.207 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.883 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
149,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
150,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
151,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
152,BD+55 362 b,171,0.72 Jupiters,9.38,2021
153,BD+60 1417 b,147,15 Jupiters,9.374,2021
154,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
155,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
156,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
157,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
158,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
159,CD Ceti b,28,3.95 Earths,13.95,2020
160,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
161,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
162,CHXR 73 b,621,12.569 Jupiters,,2006
163,CI Tauri b,515,11.6 Jupiters,13.642,2019
164,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
165,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
166,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
167,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
168,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
169,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
170,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
171,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
172,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
173,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
174,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
175,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
176,CoRoT-20 c,2753,17 Jupiters,14.63,2018
177,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
178,CoRoT-22 b,2046,12.2 Earths,13.82,2014
179,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
180,CoRoT-24 b,1930,5.7 Earths,15.383,2014
181,CoRoT-24 c,1930,28 Earths,15.383,2014
182,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
183,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
184,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
185,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
186,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
187,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
188,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
189,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
190,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
191,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
192,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
193,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
194,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
195,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
196,CoRoT-7 b,522,4.07661 Earths,11.728,2009
197,CoRoT-7 c,522,8.4 Earths,11.728,2009
198,CoRoT-7 d,522,17.142 Earths,11.728,2022
199,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
200,EPIC 205950854 c,796,2.27 Earths,12.365,2019
201,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
202,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
203,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
204,EPIC 206032309 b,526,1.01 Earths,17.89,2019
205,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
206,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
207,EPIC 206215704 b,358,0.972 Earths,17.83,2019
208,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
209,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
210,EPIC 211822797 b,607,4.35 Earths,15.133,2016
211,EPIC 211945201 b,593,27 Earths,10.154,2018
212,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
213,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
214,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
215,EPIC 212499991 b,924,3.19 Earths,13.672,2019
216,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
217,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
218,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
219,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
220,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
221,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
222,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
223,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
224,EPIC 220674823 b,798,8.21 Earths,12.101,2016
225,EPIC 205950854 c,796,2.27 Earths,12.365,2019
226,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
227,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
228,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
229,EPIC 206032309 b,526,1.01 Earths,17.89,2019
230,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
231,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
232,EPIC 206215704 b,358,0.972 Earths,17.83,2019
233,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
234,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
235,EPIC 211822797 b,607,4.35 Earths,15.133,2016
236,EPIC 211945201 b,593,27 Earths,10.154,2018
237,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
238,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
239,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
240,EPIC 212499991 b,924,3.19 Earths,13.672,2019
241,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
242,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
243,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
244,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
245,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
246,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
247,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
248,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
249,EPIC 220674823 b,798,8.21 Earths,12.101,2016
